title,year,cast,director,rating,total_rating_count,genres
Ritual,2000,"Shinobu Ôtake, Jun Murakami, Megumi Hayashibara, Suzuki Matsuo, Shunji Iwai",Hideaki Anno,4.25 out of 5,"26,653","Drama, Romance"
The Green Mile,1999,"Sam Rockwell, Phil Hawn, Van Epperson, David Morse, Katelyn Leavenworth",Frank Darabont,4.25 out of 5,"837,154","Drama, Crime, Fantasy"
Sorcerer,1977,"Jacques François, Roy Scheider, Henry Diamond, Cosmo 'Gus' Allegretti, Nick Discenza",William Friedkin,4.25 out of 5,"99,279","Drama, Thriller, Adventure"
Winter Light,1963,"Gunnel Lindblom, Max von Sydow, Eddie Axberg, Lars-Owe Carlberg, Ingmari Hjort",Ingmar Bergman,4.25 out of 5,"58,877",Drama
Malcolm X,1992,"Cleave Guyton Jr., George Guidall, Douglas Purviance, Steve White, Lauren Padick",Spike Lee,4.25 out of 5,"136,429","History, Drama"
Umberto D.,1952,"Maria Pia Casilio, De Silva, Lina Gennari, Elena Rea, Napoleone the Dog",Vittorio De Sica,4.25 out of 5,"39,803",Drama
Sweet Smell of Success,1957,"Jeff Donnell, Sam Levene, Barbara Nichols, Lewis Charles, Joe Frisco",Alexander Mackendrick,4.24 out of 5,"53,220",Drama
Eternal Sunshine of the Spotless Mind,2004,"Amir Ali Said, Ryan Whitney, Elijah Wood, Lauren Adler, Jane Adams",Michel Gondry,4.24 out of 5,"2,419,133","Science Fiction, Romance, Drama"
Aparajito,1956,"Kamala Adhikari, Kali Bannerjee, Ramani Sengupta, Ajay Mitra, Hemanta Chatterjee",Satyajit Ray,4.24 out of 5,"24,513",Drama
Saving Private Ryan,1998,"Jeremy Davies, David Wohl, Kathleen Byron, Ryan Hurst, Sam Ellis",Steven Spielberg,4.24 out of 5,"1,042,144","History, Drama, War"
The Grand Budapest Hotel,2014,"Jella Niemann, Bob Balaban, Lennart Meyer, Robert Bienas, Sister Anna Rademacher",Wes Anderson,4.24 out of 5,"2,219,663","Drama, Comedy"
Marcel the Shell with Shoes On,2021,"Sam Painter, Dean Fleischer Camp, Blake Hottle, Jeremy Evans, Shari Finkelstein",Dean Fleischer Camp,4.24 out of 5,"315,351","Animation, Drama, Comedy, Family"
The First Slam Dunk,2022,"Masafumi Kobatake, Chado Horii, Kenta Miyake, Chikahiro Kobayashi, Ryota Iwasaki",Takehiko Inoue,4.24 out of 5,"51,298","Animation, Drama, Comedy"
The Bridge on the River Kwai,1957,"Kannikar Dowklee, Vilaiwan Seeboonreaung, Ngamta Suphaphongs, Tsai Chin, James Donald",David Lean,4.24 out of 5,"92,993","War, History, Drama"
Napoleon,1927,"Roblin, Gina Manès, Pierre Danis, Florence Talma, Roger Blum",Abel Gance,4.24 out of 5,"17,141","Drama, History, War"
The King of Comedy,1982,"Marta Heflin, Thomas M. Tolan, Michael F. Stodden, William Jorgensen, Ralph Monaco",Martin Scorsese,4.24 out of 5,"323,045","Comedy, Drama"
The Holdovers,2023,"Michael Malvesti, Kevin Fennessy, Pamela Jayne Morgan, Davis Robinson, Osmani Rodriguez",Alexander Payne,4.24 out of 5,"1,167,159","Comedy, Drama"
Anatomy of a Murder,1959,"Chuck Ramsay, Joseph N. Welch, Lloyd Le Vasseur, George C. Scott, James Waters",Otto Preminger,4.24 out of 5,"70,921","Crime, Drama, Mystery"
We All Loved Each Other So Much,1974,"Amedeo Fabrizi, Olga De Marco, Luciano Bonanni, Stefano Satta Flores, Isa Barzizza",Ettore Scola,4.24 out of 5,"18,260","Drama, Comedy"
Raging Bull,1980,"John Arceri, Marty Denkin, Silvio García Jr., Maryjane Lauria, Geraldine Smith",Martin Scorsese,4.24 out of 5,"428,085",Drama
"4 Months, 3 Weeks and 2 Days",2007,"Vlad Ivanov, Ion Sapdaru, Adi Cărăuleanu, Cristina Burbuz, Mărioara Sterian",Cristian Mungiu,4.24 out of 5,"48,951",Drama
The Face of Another,1966,"Robert Dunham, Miki Irie, Bibari Maeda, Yoshie Minami, Eiko Muramatsu",Hiroshi Teshigahara,4.24 out of 5,"41,810","Science Fiction, Drama"
Solaris,1972,"Tatyana Malykh, Vitalik Kerdimun, Yulian Semyonov, Aleksandr Misharin, Nikolay Grinko",Andrei Tarkovsky,4.23 out of 5,"162,083","Mystery, Science Fiction, Drama"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"Thomas Bangalter, Todd Edwards, Romanthony, Guy-Manuel de Homem-Christo, DJ Sneak","Daisuke Nishio, Leiji Matsumoto, Hirotoshi Rissen, Kazuhisa Takenouchi",4.24 out of 5,"58,654","Adventure, Science Fiction, Animation, Music"
Kes,1969,"Desmond Guthrie, Bernard Atha, Joey Kaye, Bill Dean, Joe Miller",Ken Loach,4.23 out of 5,"40,955",Drama
Song of the Sea,2014,"Fionnula Flanagan, Will Collins, Lisa Hannigan, Pat Shortt, Brendan Gleeson",Tomm Moore,4.23 out of 5,"103,061","Fantasy, Animation, Family"
Il Sorpasso,1962,"Franca Polesello, Jacques Stany, John Francis Lane, Catherine Spaak, Bruna Simionato",Dino Risi,4.24 out of 5,"27,457","Comedy, Drama"
Vertigo,1958,"John Benson, Raymond Bailey, Konstantin Shayne, Tom Helmore, Barbara Bel Geddes",Alfred Hitchcock,4.23 out of 5,"605,420","Romance, Thriller, Mystery"
Le Samouraï,1967,"Catherine Jourdan, Alain Delon, Carl Lechner, Jacques Léonard, Ari Aricardi",Jean-Pierre Melville,4.23 out of 5,"157,293","Crime, Drama, Thriller"
Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,"Seiko Yoshida, Chiwa Saito, Marina Miyamoto, Junko Iwao, Kaori Mizuhashi",Yukihiro Miyamoto,4.23 out of 5,"20,915","Mystery, Animation, Fantasy"
The Shining,1980,"Anne Jackson, Alan Harris, Billie Gibson, Norman Gay, Philip Stone",Stanley Kubrick,4.23 out of 5,"2,250,415","Horror, Thriller"
The Best Years of Our Lives,1946,"Marlene Aames, Ethelreda Leopold, Ray Collins, William Newell, Roman Bohnen",William Wyler,4.23 out of 5,"38,880","Drama, Romance, War"
The Life and Death of Colonel Blimp,1943,"Spencer Trevor, Reginald Tate, Vincent Holman, Roland Culver, Ursula Jeans","Emeric Pressburger, Michael Powell",4.23 out of 5,"23,035","War, Drama, Romance, Comedy"
Tokyo Godfathers,2003,"Chiyako Shibahara, Yusaku Yara, Satomi Korogi, Tohru Emori, Aya Okamoto",Satoshi Kon,4.23 out of 5,"181,626","Drama, Comedy, Animation"
The Disappearance of Haruhi Suzumiya,2010,"Daisuke Ono, Yuki Matsuoka, Tomokazu Sugita, Natsuko Kuwatani, Yuko Goto","Yasuhiro Takemoto, Tatsuya Ishihara",4.23 out of 5,"15,874","Comedy, Animation, Science Fiction, Mystery, Drama"
Kwaidan,1964,"Kenjirō Ishiyama, Yoichi Hayashi, Yōsuke Kondō, Kirô Abe, Noriko Mikura",Masaki Kobayashi,4.23 out of 5,"45,582","Fantasy, Horror, Drama"
Millennium Actress,2001,"Masane Tsukayama, Masaya Onosaka, Shozo Iizuka, Fumiko Orikasa, Tomie Kataoka",Satoshi Kon,4.23 out of 5,"110,873","Romance, Animation, Drama, Fantasy"
An Autumn Afternoon,1962,"Ryuji Kita, Matsuko Shiga, Shinichirō Mikami, Fujio Suga, Chishū Ryū",Yasujirō Ozu,4.23 out of 5,"27,300",Drama
Azur & Asmar: The Princes' Quest,2006,"Karim M'Ribah, Olivier Claverie, Sofia Boutella, Thissa d'Avila Bensalah, Hiam Abbass",Michel Ocelot,4.23 out of 5,"35,157","Family, Animation"
Make Way for Tomorrow,1937,"John Preston, Jay Eaton, Alice Keating, Don Brodie, Dennis O'Keefe",Leo McCarey,4.23 out of 5,"17,881","Romance, Drama"
Amour,2012,"Rita Blanco, Jean-Michel Monroc, Isabelle Huppert, Alexandre Tharaud, Ramon Agirre",Michael Haneke,4.23 out of 5,"120,446","Drama, Romance"
